Addiewell ,"HMP Addiewell, 9 Station Road, Addiewell, West Lothian, EH55 8QA"
Albany ,"HMP Isle of Wight, Albany House, Newport, Isle of Wight, PO30 5RS"
Altcourse ,"HMP Altcourse, Brookfield Dr, Fazakerley, Liverpool, L9 7LH"
Ashfield ,"HMP Ashfield, Shortwood Road, Pucklechurch, Bristol, BS16 9QJ"
Askham Grange ,"HMP/YOI Askham Grange, Askham, Richard, YO23 3FT"
Aylesbury ,"HMP Aylesbury, Bierton Road, Aylesbury, HP20 1EH"
Barlinnie ,"HMP Barlinnie, 81 Lee Avenue, Riddrie, Glasgow, G33 2QX"
Bedford ,"HMP Bedford, St Loyes St, Bedford, MK40 1HG"
Bella Centre,"Bella Centre, 81 Ann Street, Dundee, DD3 7TF"
Belmarsh ,"HMP Belmarsh, Western Way, Thamesmead, London, SE28 0EB"
Berwyn ,"HMP Berwyn, Bridge Road, Wrexham Industrial Estate, Wrexham, North Wales, LL13 9QE"
Birmingham ,"HMP Birmingham, Winson Green Road, Birmingham, B18 4AS"
Brinsford ,"HMP Brinsford, New Road, Featherstone, Wolverhampton, WV10 7PY"
Bristol ,"HMP Bristol, 19 Cambridge Road, Bishopston, Bristol, BS7 8PS "
Brixton ,"HMP Brixton, Jebb Ave, Brixton Hill, London, SW2 5XF"
Bronzefield ,"HMP Bronzefield, Woodthorpe Road, Ashford, Middlesex, TW15 3JZ"
Buckley Hall ,"HMP Buckley Hall, Buckley Farm Lane, Rochdale, OL12 9DW"
Bullingdon ,"HMP Bullingdon, Patrick Haugh Road, Bicester, OX25 1PZ"
Bure ,"HMP Bure, Jaguar Drive, Badersfield, Norwich, NR10 5GB"
Cardiff ,"HMP Cardiff, Knox Road, Cardiff CF24 0UG"
Castle Huntly ,"HMP Castle Huntly, Longforgan, Nr Dundee, DD2 5HL"
Channings Wood ,"HMP Channings Wood, Denbury, Newton Abbot, Devon,TQ12 6DW"
Chelmsford ,"HMP/YOI Chelmsford, 200 Springfield Road, Chelmsford, Essex, CM2 6LQ"
Coldingley ,"HMP Coldingley, Shaftesbury Road, Bisley, Woking, Surrey, GU24 9EX"
Cookham Wood ,"HMP Cookham Wood, Sir Evelyn Road, Rochester, Kent, ME1 3LU"
Dartmoor,"HMP Dartmoor, Tavistock Rd, Princetown, Yelverton, PL20 6RR"
Deerbolt ,"HMP/YOI Deerbolt, Bowes Road, Barnard Castle, County Durham, DL12 9BG"
Doncaster ,"HMP & YOI Doncaster, Marsh Gate, Doncaster, DN5 8UX"
Dovegate ,"HMP Dovegate, Uttoxeter, Staffordshire, ST14 8XR"
Downview ,"HMP/YOI Downview, Sutton Lane, Sutton, Surrey, SM2 5PD"
Drake Hall ,"HMP/YOI Drake Hall, Eccleshall, Staffordshire, ST21 6LQ"
Dumfries ,"HMP Dumfries, Terregles Street, Dumfries, DG2 9AX"
Durham ,"HMP Durham, Old Elvet, Durham, DH1 3HU"
East Sutton Park ,"HMP/YOI East Sutton Park, Sutton Valence, Maidstone, Kent, ME17 3DF"
Eastwood Park ,"HMP/YOI Eastwood Park, Falfield, Wotton-under-Edge, Gloucestershire, GL12 8DB"
Edinburgh,"HMP Edinburgh, 33 Stenhouse Road, Edinburgh, EH11 3LN"
Elmley ,"HMP/YOI Elmley, Church Road, Eastchurch, Sheerness, Kent, ME12 4DZ"
Erlestoke ,"HMP Erlestoke, Erlestoke, Devizes, Wiltshire, SN10 5TU"
Exeter ,"HMP Exeter, 30 New North Road, Exeter, EX4 4EX"
Featherstone ,"HMP Featherstone, New Road, Featherstone, Wolverhampton, WV10 7PU"
Feltham ,"HMP/YOI Feltham, Bedfont Road, Feltham, Middlesex, TW13 4ND"
Five Wells ,"HMP Five Wells Prison,  Doddington Rd, Wellingborough, NN8 2NG"
Ford ,"HMP Ford, Arundel, West Sussex, BN18 0BX"
Forest Bank ,"HMP Forest Bank, Agecroft Road, Pendlebury, Manchester, M27 8FB"
Fosse Way ,"HMP Fosse Way, 1 Tigers Road, Glen Parva, Wigston, LE18 4WS"
Foston Hall ,"HMP/YOI Foston Hall, Foston, Derby, Derbyshire, DE65 5DN"
Frankland ,"HMP Frankland, Business Hub,  Brasside,Durham, DH1 5YD"
Full Sutton ,"HMP Full Sutton, Moor Lane, Full Sutton, York, YO41 1PS"
Garth ,"HMP Garth, Ulnes Walton, Leyland, Preston, PR26 8NE"
Gartree ,"HMP Gartree, Gallow Field Road, Market Harborough, Leicestershire, LE16 7RP"
Glenochil ,"HMP Glenochil, King O Muir Road, Tullibody, Clackmannanshire, FK10 3AD"
Grampian ,"HMP & YOI Grampian, South Road, Peterhead, AB42 2YY"
Greenock ,"HMP Greenock, Old Inverkip Road, Greenock, PA16 9AJ"
Grendon/Spring Hill ,"HMP Grendon, Grendon Underwood, Buckinghamshire, HP18 0TL"
Guys Marsh ,"HMP Guys Marsh, Shaftesbury, Dorset, SP7 0AH"
Hatfield (Main site),"HMP/YOI Hatfield (Main site), Thorne Road, Hatfield, Doncaster, South Yorkshire, DN7 6EL"
Hatfield (Lakes site),"HMP/YOI Hatfield (Lakes site), Lancaster Drive, Lindholme, Doncaster, South Yorkshire, DN7 6FA"
Haverigg ,"HMP Haverigg, North Lane, Millom, LA18 4NA"
Hewell Prison ,"HMP Hewell, Hewell Lane, Redditch, Worcestershire, B97 6QS"
High Down ,"HMP/YOI High Down, High Down Lane, Sutton, Surrey, SM2 5PJ"
Highpoint ,"HMP Highpoint, Stradishall, Newmarket, Suffolk, CB8 9YG"
Hindley ,"HMP/YOI Hindley, Barracks Road, Bickershaw, Wigan, WN2 5TH"
Hollesley Bay,"HMP/YOI Hollesley Bay, Rectory Road, Woodbridge, Suffolk, IP12 3JW"
Holme House ,"HMP Holme House, Holme House Road, Stockton on Tees, TS18 2QU"
Hull ,"HMP Hull, Hedon Road, Hull, HU9 5LS"
Humber ,"HMP Humber, Sands Lane, Brough, East Yorkshire, HU15 2JZ"
Huntercombe ,"HMP Huntercombe, Nuffield, Henley-on-Thames, Oxfordshire, RG9 5SB"
Hydebank Wood ,"Hydebank Wood College, Hydebank Wood, Belfast, BT8 8NA"
Inverness ,"HM Prison Inverness, Duffy Drive, Inverness, IV2 3HH"
Isis ,"HMP/YOI Isis, Western Way, Thamesmead, SE28 0NZ"
Isle of Wight ,"HMP Isle of Wight, Albany House, Newport, Isle of Wight, PO30 5RS"
Kilmarnock ,"HMP Kilmarnock, Mauchline Road, Kilmarnock, KA1 5AA"
Kirkham ,"HMP Kirkham, Freckleton Road, Kirkham, Preston, Lancashire, PR4 2RN"
Kirklevington Grange ,"HMP Kirklevington Grange, Yarm, Cleveland, TS15 9PA"
Lancaster Farms ,"HMP Lancaster Farms, Stone Row Head, Off Quernmore Road, Lancaster, LA1 3QZ"
Leeds ,"HMP Leeds, 2 Gloucester Terrace, Stanningley Road, Leeds, West Yorkshire, LS12 2TJ"
Leicester ,"HMP Leicester, 116 Welford Road, Leicester, LE2 7AJ"
Lewes ,"HMP/YOI Lewes, 1 Brighton Road, Lewes, East Sussex, BN7 1EA"
Leyhill ,"HMP Leyhill, Wotton-under-Edge, Gloucester, GL12 8BT"
Lilias Centre,"Lilias Centre, 41 Shawpark Street, Maryhill, Glasgow, G20 9DR"
Lincoln ,"HMP/YOI Lincoln, Greetwell Road, Lincoln, LN2 4BD"
Lindholme ,"HMP Lindholme, Bawtry Road, Hatfield, Doncaster, DN7 6EE"
Littlehey ,"HMP Littlehey, Perry, Huntingdon, Cambridgeshire, PE28 0SR"
Liverpool ,"HMP Liverpool, 68 Hornby Road, Liverpool, L9 3DF"
Long Lartin ,"HMP Long Lartin, South Littleton, Evesham, Worcestershire, WR11 8TZ"
Low Moss ,"HMP Low Moss, Crosshill Road, Bishopbriggs, Glasgow, G64 2QB"
Low Newton ,"HMP/YOI Low Newton, Brasside, Durham, DH1 5YA"
Lowdham Grange ,"HMP Lowdham Grange, Old Epperstone Road, Lowdham, Nottingham, NG14 7DA"
Magilligan ,"HMP Magilligan, Point Road, Londonderry, Limavady, BT49 0LR"
Maghaberry ,"HMP Maghaberry, Old Road, Ballinderry Upper, Lisburn, BT28 2PT"
Maidstone ,"HMP Maidstone, 36 County Road, Maidstone, Kent, ME14 1UZ"
Manchester ,"HMP Manchester, 1 Southall Street, Manchester, M60 9AH"
Moorland  ,"HMP/YOI Moorland, Bawtry Road, Hatfield Woodhouse, Doncaster, South Yorkshire, DN7 6BW"
Morton Hall ,"HMP Morton Hall, Swinderby, Lincoln, LN6 9PT"
New Hall ,"HMP/YOI New Hall, Dial Wood, Flockton, Wakefield, West Yorkshire, WF4 4XX"
North Sea Camp ,"HMP North Sea Camp, Croppers Lane, Freiston, Boston, Lincolnshire, PE22 0QX"
Northumberland ,"HMP Northumberland, Wansbeck Rd, Morpeth, NE65 9XG"
Norwich ,"HMP/YOI Norwich, Knox Road, Norwich, Norfolk, NR1 4LU"
Nottingham ,"HMP Nottingham, Perry Road, Sherwood, Nottingham, NG5 3AG"
Oakwood ,"HMP Oakwood, Oaks Drive, Featherstone, West Midlands, WV10 7QD"
Onley ,"HMP Onley, Rugby, Warwickshire, CV23 8AP"
Parc ,"HMP/YOI Parc, Heol Hopcyn John, Coety, Pen-y-bont ar Ogwr, Bridgend, CF35 6AP"
Pentonville ,"HMP/YOI Pentonville, Caledonian Road, London, N7 8TT"
Perth ,"HMP Peth, 3 Edinburgh Road, Perth, PH2 8AT"
Peterborough ,"HMP Peterborough, Saville Road, Peterborough, PE3 7PD"
Polmont ,"HMP Polmont, Redding Road, Brightons, Falkirk, FK2 0AB"
Portland ,"HMP/YOI Portland, 104 The Grove, Easton, Portland, Dorset, DT5 1DL"
Prescoed ,"HMP Prescoed, Coed-y-Paen, Pontypool, Monmouthshire, NP4 0TB"
Preston ,"HMP Preston, 2 Ribbleton Lane, Preston, Lancashire, PR1 5AB"
Ranby ,"HMP Ranby, Retford, Nottingham, DN22 8EU"
Risley ,"HMP Risley, Warrington Road, Risley, Warrington, Cheshire, WA3 6BP"
Rochester ,"HMP/YOI Rochester, 1 Fort Road, Rochester, Kent, ME1 3QS"
Rye Hill ,"HMP Rye Hill, Willoughby, Rugby, CV23 8SZ"
Send ,"HMP Send, Ripley Road, Woking, Surrey, GU23 7LJ"
Shotts ,"HMP Shotts, Canthill Road, Shotts, ML7 4LE"
Spring Hill / Grendon,"HMP Spring Hill, Grendon Underwood, Buckinghamshire, HP18 0TL"
Stafford ,"HMP Stafford, 54 Gaol Road, Stafford, Staffordshire, ST16 3AW"
Standford Hill ,"HMP Standford Hill, Church Road, Eastchurch, Sheerness, Kent, ME12 4AA"
Stirling ,"HMP YOI Stirling, Stirling, FK9 5NU"
Stocken ,"HMP Stocken, Stocken Hall Road, Stretton, Nr Oakham, Rutland, LE15 7RD"
Stoke Heath ,"HMP/YOI Stoke Heath, Market Drayton, Shropshire, TF9 2JL"
Styal ,"HMP/YOI Styal, Wilmslow, Cheshire, SK9 4HR"
Sudbury ,"HMP Sudbury, Nr Ashbourne, Derbyshire, DE6 5HW"
Swaleside ,"HMP Swaleside, Brabazon Road, Eastchurch, Isle of Sheppey, Kent, ME12 4AX"
Swansea ,"HMP Swansea, 200 Oystermouth Road, Swansea, SA1 3SR"
Swinfen Hall ,"HMP/YOI Swinfen Hall, Swinfen Hall, Lichfield, Staffordshire, WS14 9QS"
Thameside ,"HMP Thameside, Griffin Manorway, London, SE28 0FJ"
The Mount ,"HMP The Mount, Molyneaux Avenue, Bovingdon, Hemel Hempstead, Hertfordshire, HP3 0NZ"
The Verne ,"HMP The Verne, Verne Common Road, Portland, Dorset, DT5 1EQ"
Thorn Cross ,"HMP/YOI Thorn Cross, Arley Road, Appleton Thorn, Warrington, Cheshire, WA4 4RL"
Usk ,"HMP Usk, 47 Maryport Street, Usk, Monmouthshire, NP15 1XP"
Wakefield ,"HMP Wakefield, 5 Love Lane, Wakefield, West Yorkshire, WF2 9AG"
Wandsworth ,"HMP Wandsworth, PO Box 757, Heathfield Road, Wandsworth, London, SW18 3HS"
Warren Hill ,"HMP Warren Hill, Grove Road, Hollesley, Woodbridge, Suffolk, IP12 3BF"
Wayland ,"HMP Wayland, Griston, Thetford, Norfolk, IP25 6RL"
Wealstun ,"HMP Wealstun, Church Causeway, Thorp Arch, Wetherby, Yorkshire, LS23 7AZ"
Werrington ,"HMYOI Werrington, Ash Bank Road, Werrington, Stoke-On-Trent, ST9 0DX"
Wetherby ,"HMYOI Wetherby, York Road, Wetherby, West Yorkshire, LS22 5ED"
Whatton ,"HMP Whatton, New Lane, Whatton, Nottingham, NG13 9FQ"
Whitemoor ,"HMP Whitemoor, Longhill Road, March, Cambridgeshire, PE15 0PR"
Winchester ,"HMP/YOI Winchester, Romsey Road, Winchester, SO22 5DF"
Woodhill ,"HMP/YOI Woodhill, Tattenhoe Street, Milton Keynes, Buckinghamshire, MK4 4DA"
Wormwood Scrubs ,"HMP Wormwood Scrubs, PO Box 757, Du Cane Road, London, W12 0AE"
Wymott ,"HMP Wymott, Ulnes Walton Lane, Leyland, Preston, Lancashire, PR26 8LW"
Brookhouse ,"Brook House IRC, Perimeter Road South, London Gatwick Airport, Gatwick, RH6 0PQ"
Campsfield House,"Campsfield House IRC, Langford Lane, Kidlington, Oxford, OX5 1RE"
Colnbrook ,"Colnbrook IRC, Colnbrook Bypass, Harmondsworth, West Drayton, Middlesex, UB7 0FX"
Derwentside ,"Derwentside IRC, Corbridge Road, Consett, Co Durham, DH8 6QY"
Dungavel ,"Dungavel House IRC, Strathaven, South Lanarkshire, ML10 6RF"
Harmondsworth ,"Harmondsworth IRC, Colnbrook-by-pass, Harmondsworth, West Drayton, Middlesex, UB7 0HB"
Haslar ,"Haslar IRC, Dolphin Way, Gosport, PO12 2AW"
Tinsley House ,"Tinsley House IRC, Perimeter Road South, Gatwick Airport, Gatwick, West Sussex, RH6 0PQ"
Yarlswood ,"Yarl’s Wood IRC, Twinwoods Business Park, Thurleigh Road, Milton Ernest, Bedford, MK44 2FQ"
